Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
65,Shouvik Ghosh / Shouvik-Ghosh,in IND,DF,NorthEast Utd,26,1992,2,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Lucian Goian / Lucian-Goian,ro ROU,DF,Chennaiyin,36,1983,9,9,810,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Sarthak Golui / Sarthak-Golui,in IND,DF,Mumbai City,21,1997,10,10,876,1,0,0,0,4,1,0.10,0.00,0.10,0.10,0.10,Matches
68,Néstor Gordillo / Nestor-Gordillo,es ESP,MF,Hyderabad FC,29,1989,2,2,158,0,1,0,0,0,0,0.00,0.57,0.57,0.00,0.57,Matches
69,Mato Grgić / Mato-Grgic,hr CRO,DF,Mumbai City,31,1987,6,6,492,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Robin Gurung / Robin-Gurung,in IND,DF,Jamshedpur,26,1992,10,9,790,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
71,Asamoah Gyan / Asamoah-Gyan,gh GHA,FW,NorthEast Utd,33,1985,8,8,592,4,1,1,1,2,0,0.61,0.15,0.76,0.46,0.61,Matches
72,Abdul Hakku / Abdul-Hakku,in IND,DF,Kerala Blasters,25,1994,3,1,167,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Abhisek Halder / Abhisek-Halder,in IND,MF,Hyderabad FC,20,1999,5,2,185,0,1,0,0,2,0,0.00,0.49,0.49,0.00,0.49,Matches
74,Pronay Halder / Pronay-Halder,in IND,MF,Kolkata,26,1993,5,3,257,1,0,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches
75,Thongkhosiem Haokip / Thongkhosiem-Haokip,in IND,FW,Bengaluru,25,1993,9,0,148,1,0,0,0,0,0,0.61,0.00,0.61,0.61,0.61,Matches
76,Kai Heerings / Kai-Heerings,nl NED,DFMF,NorthEast Utd,29,1990,7,7,612,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Javi Hernández / Javi-Hernandez,es ESP,MF,Kolkata,30,1989,11,11,905,0,2,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches
78,Xisco Hernández / Xisco-Hernandez,es ESP,MF,Delhi Dynamos,30,1989,10,8,672,4,1,0,0,0,0,0.54,0.13,0.67,0.54,0.67,Matches
79,Hmingthanmawia / Hmingthanmawia,in IND,FW,Mumbai City,19,2000,2,0,53,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
